
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 
 176 	 2.027118 	 0.000000 
 177 	 1.988136 	 0.000000 
 178 	 1.949152 	 0.000000 
 179 	 1.910170 	 0.000000 
 180 	 1.871186 	 0.000000 
 181 	 1.832203 	 0.000000 
 182 	 1.793220 	 0.000000 
 183 	 1.754237 	 0.000000 
 184 	 1.715254 	 0.000000 
 185 	 1.676271 	 0.000000 
 186 	 1.637288 	 0.000000 
 187 	 1.598305 	 0.000000 
 188 	 1.559322 	 0.000000 
 189 	 1.520339 	 0.000000 
 190 	 1.481356 	 0.000000 
 191 	 1.442373 	 0.000000 
 192 	 1.403390 	 0.000000 
 193 	 1.364407 	 0.000000 
 194 	 1.325424 	 0.000000 
 195 	 1.286441 	 0.000000 
 196 	 1.247458 	 0.000000 
 197 	 1.208475 	 0.000000 
 198 	 1.169492 	 0.000000 
 199 	 1.130508 	 0.000000 
 200 	 1.091525 	 0.000000 
 201 	 1.052542 	 0.000000 
 202 	 1.013559 	 0.000000 
 203 	 0.974576 	 0.000000 
 204 	 0.935593 	 0.000000 
 205 	 0.896610 	 0.000000 
 206 	 0.857627 	 0.000000 
 207 	 0.818644 	 0.000000 
 208 	 0.779661 	 0.000000 
 209 	 0.740678 	 0.000000 
 210 	 0.701695 	 0.000000 
 211 	 0.662712 	 0.000000 
 212 	 0.623729 	 0.000000 
 213 	 0.584746 	 0.000000 
 214 	 0.545763 	 0.000000 
 215 	 0.506780 	 0.000000 
 216 	 0.467797 	 0.000000 
 217 	 0.428813 	 0.000000 
 218 	 0.389831 	 0.000000 
 219 	 0.350847 	 0.000000 
 220 	 0.311864 	 0.000000 
 221 	 0.272881 	 0.000000 
 222 	 0.233898 	 0.000000 
 223 	 0.194915 	 0.000000 
 224 	 0.155932 	 0.000000 
 225 	 0.116949 	 0.000000 
 226 	 0.077966 	 0.000000 
 227 	 0.038983 	 0.000000 
 228 	 0.000000 	 0.000000 
 229 	 0.000000 	 0.038462 
 230 	 0.000000 	 0.076923 
 231 	 0.000000 	 0.115385 
 232 	 0.000000 	 0.153846 
 233 	 0.000000 	 0.192308 
 234 	 0.000000 	 0.230769 
 235 	 0.000000 	 0.269231 
 236 	 0.000000 	 0.307692 
